corso_codice,corso_descrizione,campus,ambiti,tipologia,lingue
8842,Amministrazione e gestione d'impresa,Rimini,Economia e management,Laurea Magistrale,it
8843,Management dell'economia sociale,Forlì,Economia e management,Laurea Magistrale,it
8845,Scienze storiche e orientalistiche,Bologna,Studi umanistici,Laurea Magistrale,it en
8847,Economia del turismo,Rimini,Economia e management,Laurea,it en
8848,Economia dell'impresa,Rimini,Economia e management,Laurea,it en
8850,Lettere,Bologna,Studi umanistici,Laurea,it
8853,"Scienze politiche, sociali e internazionali",Bologna,Scienze politiche,Laurea,it
8854,Quantitative Finance,Bologna,Scienze Statistiche,Laurea Magistrale,en
8855,Archeologia e culture del mondo antico,Bologna,Studi umanistici,Laurea Magistrale,it en
8857,Biologia marina,Ravenna,Scienze,Laurea Magistrale,it
8871,Economia aziendale,Bologna,Economia e management,Laurea,it
8872,"Finanza, assicurazioni e impresa",Rimini,Scienze Statistiche,Laurea,it
8873,Scienze statistiche,Bologna,"Scienze Statistiche, Scienze",Laurea,it en
8874,"Language, Society and Communication",Bologna,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,en
8876,"Statistica, economia e impresa",Bologna,Scienze Statistiche,Laurea Magistrale,it en
8877,"Scienze statistiche, finanziarie e attuariali",Rimini,Scienze Statistiche,Laurea Magistrale,it
8878,Scienze delle professioni sanitarie della prevenzione,Bologna,Medicina e Chirurgia,Laurea Magistrale,it
8882,Produzioni animali,Bologna,Scienze agro-alimentari,Laurea,it
8883,International Horticultural Science,Bologna,Scienze agro-alimentari,Laurea Magistrale,en
8885,Scienze della comunicazione,Bologna,Studi umanistici,Laurea,it
8886,Semiotica,Bologna,Studi umanistici,Laurea Magistrale,it
8887,Ingegneria chimica e biochimica,Bologna,Ingegneria e architettura,Laurea,it
8888,Ingegneria civile,Bologna,Ingegneria e architettura,Laurea,it
8890,Sviluppo e cooperazione internazionale,Bologna,"Scienze Statistiche, Scienze politiche",Laurea,it
8891,Automation Engineering,Bologna,Ingegneria e architettura,Laurea Magistrale,en
8894,Ingegneria per l'ambiente e il territorio,Bologna,Ingegneria e architettura,Laurea Magistrale,it en
8895,Civil Engineering,Bologna,Ingegneria e architettura,Laurea Magistrale,en
8896,Ingegneria chimica e di processo,Bologna,Ingegneria e architettura,Laurea Magistrale,it en
8965,Business and Economics,Bologna,Economia e management,Laurea,en
9062,Legal Studies,Bologna,Giurisprudenza,Laurea Magistrale,en
9063,Artificial Intelligence,Bologna,"Ingegneria e architettura, Scienze",Laurea Magistrale,en
9064,Culture e pratiche della moda,Rimini,Studi umanistici,Laurea,it
9065,Ingegneria elettronica e telecomunicazioni,Bologna,Ingegneria e architettura,Laurea,it
9066,Ingegneria dell'energia elettrica,Bologna,Ingegneria e architettura,Laurea Magistrale,it en
9067,Fashion Studies,Rimini,Studi umanistici,Laurea Magistrale,en
9068,Pharmaceutical Biotechnology,Bologna,Farmacia e biotecnologie,Laurea Magistrale,en
9069,Scienze e tecniche dell'attività sportiva,Bologna,Scienze motorie,Laurea Magistrale,it
9070,"Filologia, letteratura e tradizione classica",Bologna,Studi umanistici,Laurea Magistrale,it
9071,Arti visive,Bologna,Studi umanistici,Laurea Magistrale,it fr en
9072,Chimica,Bologna,Scienze,Laurea Magistrale,it
9073,Geologia e territorio,Bologna,Scienze,Laurea Magistrale,it en
9074,Photochemistry and Molecular Materials,Bologna,Scienze,Laurea Magistrale,en
9076,Beni culturali,Ravenna,Studi umanistici,Laurea,it
9077,Scienze del libro e del documento,Ravenna,Studi umanistici,Laurea Magistrale,it
9078,Pharmacy,Rimini,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,en
9079,"Tecniche di radiologia medica, per immagini e radioterapia (abilitante alla professione sanitaria di tecnico di radiologia medica)",Bologna,Medicina e Chirurgia,Laurea,it
9080,Logopedia (abilitante alla professione sanitaria di logopedista),Ravenna,Medicina e Chirurgia,Laurea,it
9081,Medical Biotechnology,Bologna,Medicina e Chirurgia,Laurea Magistrale,en
9082,Ingegneria biomedica,Cesena,Ingegneria e architettura,Laurea,it
9083,Educatore nei servizi per l'infanzia,Bologna,Scienze dell’educazione e della formazione,Laurea,it
9084,International Relations,Bologna,Scienze politiche,Laurea Magistrale,en
9085,"Politica, amministrazione e organizzazione",Bologna,Scienze politiche,Laurea Magistrale,it en
9140,Food Safety and Food Risk Management,,Scienze agro-alimentari,Laurea Magistrale,en
9174,Specialized translation,Forlì,"Lingue e Letterature, Traduzione e Interpretazione",Laurea Magistrale,en
9198,Ingegneria per l'ambiente e il territorio,Bologna,Ingegneria e architettura,Laurea,it
9199,Ingegneria edile,Ravenna,Ingegneria e architettura,Laurea,it
9201,Ostetricia (abilitante alla professione sanitaria di ostetrica/o),Bologna,Medicina e Chirurgia,Laurea,it
9202,Economia e commercio,Forlì,Economia e management,Laurea,it
9203,Economia e management,Forlì,Economia e management,Laurea Magistrale,it
9205,Telecommunications Engineering,Bologna,Ingegneria e architettura,Laurea Magistrale,en
9206,Pedagogia,Bologna,Scienze dell’educazione e della formazione,Laurea Magistrale,it
