annoaccademico,immatricolabile,corso_codice,corso_descrizione,url,campus,sededidattica,ambiti,tipologia,durata,internazionale,internazionale_titolo,internazionale_lingua,lingue,accesso
2023/2024,True,9217,Ingegneria dell'automazione,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9217,Bologna,Bologna,Ingegneria e architettura,Laurea,3,True,Titolo multiplo (solo alcuni curricula),,it,numero chiuso
2023/2024,True,9218,"Beni archeologici, artistici e del paesaggio: storia, tutela e valorizzazione",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9218,Ravenna,Ravenna,Studi umanistici,Laurea Magistrale,2,False,,,it,libero
2023/2024,False,9219,Farmacia,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9219,Bologna,Bologna,Farmacia e biotecnologie,Laurea Magistrale a ciclo unico,5,True,Titolo multiplo,,it,numero chiuso
2023/2024,True,9220,"Italianistica, culture letterarie europee, scienze linguistiche",http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9220,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera (solo alcuni curricula),it en,libero
2023/2024,True,9222,Statistical Sciences,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9222,Bologna,Bologna,Scienze Statistiche,Laurea Magistrale,2,True,Titolo multiplo (solo alcuni curricula),Erogato in lingua straniera,en,libero
2023/2024,True,9224,Digital Humanities and Digital Knowledge,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9224,Bologna,Bologna,Studi umanistici,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,9225,Advanced Cosmetic Sciences,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9225,Rimini,Rimini,Scienze,Laurea Magistrale,2,True,,Erogato in lingua straniera,en,libero
2023/2024,True,9228,Progettazione e gestione dell'intervento educativo nel disagio sociale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9228,Bologna,Bologna,Scienze dell’educazione e della formazione,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,9229,Progettazione e gestione dell'intervento educativo nel disagio sociale,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9229,Rimini,Rimini,Scienze dell’educazione e della formazione,Laurea Magistrale,2,False,,,it,numero chiuso
2023/2024,True,9230,Consulente del lavoro e delle relazioni aziendali,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9230,Bologna,Bologna,Giurisprudenza,Laurea,3,False,,,it,libero
2023/2024,True,9232,Giurisprudenza,http://www.unibo.it/it/didattica/corsi-di-studio/corso/2023/9232,Bologna,Bologna,Giurisprudenza,Laurea Magistrale a ciclo unico,5,True,Titolo multiplo,,it,libero
